TFCNN-fpr,TFCNN-tpr,TCNN-fpr,TCNN-tpr,FCNN-fpr,FCNN-tpr,DT-fpr,DT-tpr,XG-fpr,XG-tpr,RF-fpr,RF-tpr,SVM-fpr,SVM-tpr,MLP-fpr,MLP-tpr
0.0215772,0.983979,0.00976111,0.682191,0.0110455,0.744784,,,0.0131004,0.596125,0.000513743,0.327496,0.0156691,0.518256,0.0148985,0.475037
0.0215772,0.984724,0.010018,0.682191,0.0110455,0.745529,,,0.0133573,0.596125,0.000513743,0.329732,0.015926,0.518256,0.0151554,0.475037
0.0220909,0.984724,0.010018,0.682936,0.0110455,0.748882,,,0.0133573,0.596498,0.000513743,0.330477,0.015926,0.518629,0.0151554,0.479136
0.0220909,0.985469,0.010018,0.68927,0.0113023,0.748882,,,0.0136142,0.596498,0.000770614,0.330849,0.0161829,0.518629,0.0154123,0.479136
0.0228615,0.985469,0.0102749,0.68927,0.0113023,0.752608,,,0.0136142,0.599106,0.000770614,0.334575,0.0161829,0.519001,0.0154123,0.480626
0.0228615,0.985842,0.0102749,0.690015,0.0113023,0.753353,,,0.0138711,0.599106,0.00102749,0.337556,0.0164398,0.519001,0.0156691,0.480626
0.0241459,0.985842,0.0105317,0.690015,0.0113023,0.755589,,,0.0138711,0.599478,0.00102749,0.339791,0.0164398,0.521237,0.0156691,0.481744
0.0241459,0.986215,0.0105317,0.69076,0.0115592,0.755589,,,0.0141279,0.599478,0.00102749,0.341282,0.0166966,0.521237,0.015926,0.481744
0.0264577,0.986215,0.0110455,0.69076,0.0115592,0.756334,,,0.0141279,0.603949,0.00128436,0.342772,0.0166966,0.522355,0.015926,0.484352
0.0264577,0.986587,0.0110455,0.695976,0.0115592,0.757452,,,0.0143848,0.603949,0.00128436,0.34389,0.0169535,0.522355,0.0161829,0.484352
0.0267146,0.986587,0.0113023,0.695976,0.0118161,0.757824,,,0.0143848,0.609911,0.00128436,0.344262,0.0169535,0.5231,0.0161829,0.486215
0.0267146,0.987332,0.0113023,0.696349,0.012073,0.757824,,,0.0146417,0.609911,0.00128436,0.345753,0.0177241,0.5231,0.0164398,0.486215
0.0277421,0.987332,0.0118161,0.696349,0.012073,0.759687,,,0.0146417,0.610656,0.00128436,0.347615,0.0177241,0.524218,0.0164398,0.488077
0.0277421,0.987705,0.0118161,0.698584,0.0125867,0.759687,,,0.0148985,0.610656,0.00154123,0.348361,0.017981,0.524218,0.0166966,0.488077
0.0287696,0.987705,0.012073,0.698584,0.0125867,0.76006,,,0.0148985,0.612146,0.00154123,0.349106,0.017981,0.525335,0.0166966,0.489195
0.0287696,0.988077,0.012073,0.699329,0.0131004,0.76006,,,0.0151554,0.612146,0.00154123,0.350596,0.0187516,0.525335,0.0169535,0.489195
0.0292833,0.988077,0.0123298,0.699329,0.0131004,0.76155,,,0.0151554,0.613264,0.00154123,0.351714,0.0187516,0.52608,0.0169535,0.491431
0.0292833,0.98845,0.0123298,0.700075,0.0133573,0.76155,,,0.0154123,0.613264,0.00154123,0.352086,0.0190085,0.52608,0.0172104,0.491431
0.0303108,0.98845,0.0123298,0.70082,0.0133573,0.762668,,,0.0154123,0.614754,0.00154123,0.353949,0.0190085,0.531297,0.0172104,0.491803
0.0303108,0.988823,0.0123298,0.701192,0.0136142,0.762668,,,0.015926,0.614754,0.00154123,0.354322,0.0192653,0.531297,0.0174672,0.491803
0.0310814,0.988823,0.0125867,0.701192,0.0136142,0.763413,,,0.015926,0.618852,0.00154123,0.358793,0.0192653,0.533532,0.0174672,0.492176
0.0310814,0.98994,0.0125867,0.703428,0.0138711,0.763413,,,0.0161829,0.618852,0.00154123,0.361401,0.0195222,0.533532,0.017981,0.492176
0.0315952,0.98994,0.0128436,0.703428,0.0138711,0.764158,,,0.0161829,0.625186,0.00154123,0.362891,0.0195222,0.534277,0.017981,0.492921
0.0315952,0.990313,0.0128436,0.7038,0.0143848,0.764158,,,0.0164398,0.625186,0.00154123,0.364754,0.0197791,0.534277,0.0184947,0.492921
0.033907,0.990313,0.0133573,0.7038,0.0143848,0.765648,,,0.0164398,0.626304,0.00154123,0.365872,0.0197791,0.535395,0.0184947,0.495156
0.033907,0.990686,0.0133573,0.706781,0.0146417,0.765648,,,0.0166966,0.626304,0.0017981,0.36699,0.020036,0.535395,0.0187516,0.495156
0.0341639,0.990686,0.0136142,0.706781,0.0146417,0.766393,,,0.0166966,0.63152,0.0017981,0.369225,0.020036,0.53614,0.0187516,0.496274
0.0341639,0.991058,0.0136142,0.711624,0.0148985,0.766393,,,0.0169535,0.63152,0.0017981,0.371088,0.0202928,0.53614,0.0190085,0.496274
0.0364757,0.991058,0.0138711,0.711624,0.0148985,0.767139,,,0.0169535,0.635246,0.0017981,0.372206,0.0202928,0.539493,0.0190085,0.499627
0.0364757,0.991803,0.0138711,0.713115,0.0151554,0.767139,,,0.0172104,0.635246,0.0017981,0.373696,0.0205497,0.539493,0.0192653,0.499627
0.0375032,0.991803,0.0141279,0.713115,0.0151554,0.767511,,,0.0172104,0.635618,0.0017981,0.378167,0.0205497,0.542101,0.0192653,0.500745
0.0375032,0.992548,0.0141279,0.71386,0.0154123,0.767511,,,0.0174672,0.635618,0.0017981,0.378539,0.0208066,0.542101,0.0195222,0.500745
0.0405857,0.992548,0.0143848,0.71386,0.0154123,0.770492,,,0.0174672,0.637854,0.0017981,0.380402,0.0208066,0.545455,0.0195222,0.512668
0.0405857,0.992921,0.0143848,0.714232,0.0154123,0.771237,,,0.0177241,0.637854,0.0017981,0.38152,0.0210634,0.545455,0.0197791,0.512668
0.0413563,0.992921,0.0146417,0.714232,0.0154123,0.77161,,,0.0177241,0.638227,0.0017981,0.38301,0.0210634,0.545827,0.0197791,0.517139
0.0413563,0.993294,0.0146417,0.714605,0.015926,0.77161,,,0.0182379,0.638227,0.0017981,0.384501,0.0213203,0.545827,0.020036,0.517139
0.0457231,0.993294,0.0148985,0.714605,0.015926,0.772727,,,0.0182379,0.639717,0.0017981,0.386736,0.0213203,0.546572,0.020036,0.519747
0.0457231,0.994039,0.0148985,0.715723,0.0161829,0.772727,,,0.0184947,0.639717,0.0017981,0.387481,0.0218341,0.546572,0.0202928,0.519747
0.0475212,0.994039,0.0151554,0.715723,0.0161829,0.773845,,,0.0184947,0.64158,0.0017981,0.388972,0.0218341,0.547317,0.0202928,0.520492
0.0475212,0.994411,0.0151554,0.720194,0.0164398,0.773845,,,0.0190085,0.64158,0.0017981,0.389717,0.0220909,0.547317,0.0205497,0.520492
0.0488055,0.994411,0.0154123,0.720194,0.0164398,0.774963,,,0.0190085,0.643815,0.0017981,0.391952,0.0220909,0.548435,0.0205497,0.52161
0.0488055,0.994784,0.0154123,0.72392,0.0166966,0.774963,,,0.0192653,0.643815,0.0017981,0.393443,0.0223478,0.548435,0.0210634,0.52161
0.0503468,0.994784,0.0156691,0.72392,0.0166966,0.77608,,,0.0192653,0.644188,0.0017981,0.393815,0.0223478,0.550298,0.0210634,0.522355
0.0503468,0.995156,0.0156691,0.729881,0.0169535,0.77608,,,0.0195222,0.644188,0.0017981,0.394933,0.0226047,0.550298,0.0215772,0.522355
0.0513743,0.995156,0.015926,0.729881,0.0169535,0.776826,,,0.0195222,0.645678,0.0017981,0.397168,0.0226047,0.552161,0.0215772,0.523845
0.051888,0.995156,0.015926,0.734352,0.0174672,0.776826,,,0.0215772,0.645678,0.0017981,0.399031,0.0228615,0.552161,0.0220909,0.523845
0.0521449,0.995156,0.0164398,0.734352,0.0174672,0.779806,,,0.0215772,0.646051,0.00205497,0.399776,0.0228615,0.554024,0.0220909,0.524963
0.0524017,0.995529,0.0164398,0.735469,0.0177241,0.779806,,,0.0218341,0.646051,0.00205497,0.400894,0.0231184,0.554024,0.0226047,0.524963
0.0536861,0.995529,0.0166966,0.735469,0.0177241,0.782414,,,0.0218341,0.647914,0.00205497,0.402385,0.0231184,0.555142,0.0226047,0.525708
0.0536861,0.995902,0.0166966,0.737705,0.017981,0.782414,,,0.0226047,0.647914,0.00205497,0.404247,0.0233753,0.555142,0.0231184,0.525708
0.0567686,0.995902,0.0169535,0.737705,0.017981,0.785768,,,0.0226047,0.648286,0.00205497,0.407228,0.0233753,0.558867,0.0231184,0.528689
0.0572823,0.995902,0.0169535,0.73994,0.0182379,0.785768,,,0.0228615,0.648286,0.00205497,0.407973,0.0236322,0.558867,0.0233753,0.528689
0.0590804,0.995902,0.0172104,0.73994,0.0182379,0.788003,,,0.0228615,0.649031,0.00205497,0.409463,0.0236322,0.559985,0.0233753,0.529434
0.0606216,0.995902,0.0172104,0.740686,0.0184947,0.788003,,,0.0231184,0.649031,0.00205497,0.411326,0.023889,0.559985,0.0236322,0.529434
0.0611354,0.995902,0.0174672,0.740686,0.0184947,0.788748,,,0.0231184,0.650522,0.00205497,0.412444,0.023889,0.562221,0.0236322,0.530179
0.0616491,0.996274,0.0174672,0.741058,0.0190085,0.788748,,,0.0236322,0.650522,0.00205497,0.415425,0.0241459,0.562221,0.023889,0.530179
0.0631903,0.996274,0.0177241,0.741058,0.0190085,0.790238,,,0.0236322,0.652757,0.00205497,0.419896,0.0241459,0.563338,0.023889,0.530924
0.0631903,0.996647,0.0177241,0.741431,0.0192653,0.790238,,,0.023889,0.652757,0.00205497,0.422131,0.0244028,0.563338,0.0249165,0.530924
0.0634472,0.996647,0.017981,0.741431,0.0192653,0.790611,,,0.023889,0.654247,0.00205497,0.422876,0.0244028,0.563711,0.0249165,0.535022
0.063961,0.996647,0.017981,0.742548,0.0195222,0.790611,,,0.0241459,0.654247,0.00205497,0.424367,0.0249165,0.563711,0.0254303,0.535022
0.0642178,0.996647,0.0182379,0.742548,0.0195222,0.790984,,,0.0241459,0.65462,0.00205497,0.42623,0.0249165,0.565574,0.0254303,0.538748
0.0652453,0.996647,0.0182379,0.746647,0.0197791,0.790984,,,0.0244028,0.65462,0.00205497,0.427347,0.0254303,0.565574,0.025944,0.538748
